iter	Passed	Remaining
0	0	427
1	0	391
2	1	469
3	1	453
4	2	439
5	2	423
6	3	444
7	3	441
8	3	440
9	4	432
10	4	441
11	5	446
12	5	439
13	6	441
14	6	436
15	6	430
16	7	427
17	7	428
18	8	431
19	8	431
20	9	428
21	9	434
22	10	437
23	11	481
24	12	476
25	12	473
26	13	476
27	13	476
28	14	475
29	14	470
30	14	465
31	15	461
32	15	457
33	15	452
34	16	448
35	16	449
36	17	450
37	17	452
38	18	453
39	18	454
40	19	455
41	19	455
42	20	453
43	20	451
44	21	451
45	21	451
46	22	449
47	22	447
48	23	447
49	23	449
50	24	447
51	24	446
52	24	444
53	25	446
54	25	446
55	26	446
56	26	446
57	27	444
58	27	444
59	28	443
60	28	441
61	29	440
62	29	439
63	29	437
64	30	435
65	30	433
66	31	431
67	31	430
68	31	429
69	32	428
70	32	426
71	33	427
72	33	427
73	34	426
74	34	426
75	35	426
76	35	425
77	35	423
78	36	422
79	36	420
80	37	419
81	37	418
82	37	417
83	38	417
84	38	415
85	39	418
86	39	419
87	40	418
88	40	418
89	41	416
90	41	415
91	42	416
92	42	416
93	43	416
94	43	416
95	44	415
96	44	414
97	44	413
98	45	414
99	45	412
100	46	411
101	46	410
102	47	411
103	47	410
104	48	410
105	48	411
106	49	410
107	49	409
108	51	423
109	52	422
110	52	421
111	53	420
112	53	419
113	53	418
114	54	417
115	54	416
116	54	414
117	55	413
118	55	412
119	56	411
120	56	410
121	57	411
122	57	411
123	58	411
124	58	411
125	59	410
126	59	411
127	60	409
128	60	408
129	60	407
130	61	406
131	61	405
132	62	404
133	62	403
134	63	404
135	63	403
136	63	402
137	64	401
138	64	401
139	65	400
140	65	400
141	66	400
142	66	399
143	67	399
144	67	398
145	68	398
146	68	397
147	68	396
148	69	395
149	69	394
150	69	393
151	70	395
152	71	394
153	71	393
154	71	392
155	72	391
156	72	391
157	73	391
158	73	390
159	74	389
160	74	390
161	75	388
162	75	387
163	75	386
164	76	385
165	76	384
166	76	383
167	77	382
168	77	381
169	77	380
170	78	379
171	78	379
172	79	378
173	79	377
174	80	377
175	80	376
176	80	376
177	81	375
178	81	374
179	82	374
180	82	373
181	82	372
182	83	374
183	84	374
184	84	373
185	85	372
186	85	372
187	86	371
188	86	371
189	87	371
190	87	371
191	88	371
192	88	371
193	89	371
194	89	371
195	90	370
196	90	370
197	91	370
198	91	369
199	92	368
200	92	368
201	93	368
202	93	367
203	94	366
204	94	366
205	94	365
206	95	365
207	95	364
208	96	364
209	96	364
210	97	364
211	97	363
212	98	362
213	98	363
214	99	363
215	100	363
216	100	362
217	101	362
218	101	362
219	102	361
220	102	361
221	103	364
222	104	363
223	104	363
224	105	362
225	105	362
226	106	362
227	106	361
228	107	361
229	108	361
230	108	361
231	109	361
232	109	360
233	110	360
234	110	360
235	111	359
236	111	359
237	112	359
238	112	358
239	113	358
240	113	358
241	114	357
242	114	357
243	115	357
244	115	357
245	116	356
246	118	362
247	119	361
248	119	360
249	119	359
250	120	359
251	120	358
252	121	357
253	121	357
254	121	356
255	122	356
256	123	355
257	123	355
258	123	354
259	124	354
260	124	353
261	125	353
262	125	352
263	126	351
264	126	350
265	126	349
266	127	349
267	127	348
268	127	347
269	128	346
270	128	345
271	128	345
272	129	344
273	129	344
274	130	343
275	130	342
276	130	341
277	131	340
278	131	340
279	131	339
280	132	338
281	132	337
282	133	337
283	133	336
284	133	335
285	134	335
286	134	334
287	134	333
288	135	332
289	135	332
290	136	331
291	136	330
292	136	329
293	137	329
294	137	328
295	137	327
296	138	326
297	138	326
298	138	325
299	139	324
300	139	324
301	139	323
302	140	322
303	140	321
304	140	321
305	141	320
306	141	319
307	142	319
308	142	318
309	142	317
310	143	317
311	143	316
312	143	315
313	144	314
314	144	314
315	144	313
316	145	312
317	145	312
318	145	311
319	146	310
320	146	310
321	146	309
322	147	308
323	147	308
324	148	307
325	148	306
326	148	306
327	149	305
328	149	304
329	149	304
330	150	303
331	150	302
332	150	302
333	151	301
334	151	300
335	151	300
336	152	299
337	152	298
338	152	298
339	153	297
340	153	296
341	153	296
342	154	295
343	154	294
344	154	294
345	155	293
346	155	292
347	156	292
348	156	291
349	156	291
350	157	290
351	157	289
352	157	289
353	158	288
354	158	287
355	158	287
356	159	286
357	159	286
358	159	285
359	160	284
360	160	284
361	160	283
362	161	283
363	161	282
364	162	281
365	162	281
366	162	280
367	163	280
368	163	279
369	163	278
370	164	278
371	164	277
372	164	277
373	165	276
374	165	275
375	165	275
376	166	274
377	166	274
378	166	273
379	167	273
380	167	272
381	168	271
382	168	271
383	168	270
384	169	270
385	169	269
386	169	268
387	170	268
388	170	267
389	170	267
390	171	266
391	171	266
392	171	265
393	172	264
394	172	264
395	172	263
396	173	263
397	173	262
398	173	262
399	174	261
400	174	260
401	174	260
402	175	259
403	175	259
404	176	258
405	176	258
406	176	257
407	177	257
408	177	256
409	177	255
410	178	255
411	178	254
412	178	254
413	179	253
414	179	253
415	179	252
416	180	252
417	180	251
418	181	251
419	181	250
420	181	249
421	182	249
422	182	248
423	182	248
424	183	247
425	183	247
426	183	246
427	184	246
428	184	245
429	184	245
430	185	244
431	185	244
432	185	243
433	186	243
434	186	242
435	187	241
436	187	241
437	187	240
438	188	240
439	188	239
440	188	239
441	189	238
442	189	238
443	189	237
444	190	237
445	190	236
446	190	236
447	191	235
448	191	235
449	192	234
450	192	234
451	192	233
452	193	233
453	193	232
454	193	232
455	194	231
456	194	231
457	194	230
458	195	230
459	195	229
460	195	228
461	196	228
462	196	228
463	196	227
464	197	226
465	197	226
466	197	225
467	198	225
468	198	224
469	199	224
