iter	Passed	Remaining
0	7	7591
1	12	6446
2	18	6161
3	23	5798
4	28	5673
5	34	5746
6	40	5709
7	46	5793
8	53	5906
9	58	5795
10	63	5700
11	68	5671
12	73	5586
13	79	5583
14	85	5639
15	91	5633
16	97	5645
17	103	5654
18	109	5642
19	115	5654
20	120	5634
21	126	5608
22	132	5621
23	137	5596
24	143	5589
25	151	5674
26	158	5710
27	166	5769
28	172	5781
29	180	5832
30	186	5833
31	192	5835
32	200	5866
33	207	5883
34	215	5946
35	223	5996
36	232	6044
37	239	6054
38	247	6097
39	255	6125
40	263	6159
41	270	6176
42	278	6199
43	285	6212
44	293	6218
45	300	6229
46	307	6231
47	314	6246
48	322	6253
49	330	6288
50	337	6288
51	344	6288
52	351	6281
53	358	6274
54	365	6278
55	372	6271
56	380	6296
57	389	6319
58	396	6322
59	404	6333
60	412	6342
61	418	6335
62	426	6348
63	433	6345
64	441	6345
65	448	6346
66	455	6340
67	462	6341
68	469	6332
69	476	6331
70	483	6328
71	491	6331
72	497	6320
73	505	6319
74	512	6316
75	520	6326
76	527	6324
77	534	6315
78	540	6300
79	547	6294
80	553	6282
81	560	6274
82	567	6265
83	573	6255
84	579	6240
85	585	6221
86	592	6213
87	598	6204
88	604	6192
89	610	6176
90	617	6163
91	623	6158
92	630	6144
93	635	6128
94	643	6133
95	650	6122
96	656	6111
97	662	6097
98	669	6090
99	675	6076
100	681	6066
101	688	6064
102	695	6054
103	701	6041
104	707	6034
105	714	6028
106	721	6025
107	730	6030
108	737	6030
109	743	6018
110	750	6011
111	756	5998
112	762	5988
113	769	5978
114	774	5963
115	781	5957
116	787	5946
117	794	5938
118	800	5927
119	806	5917
120	815	5921
121	821	5913
122	829	5916
123	837	5914
124	843	5903
125	849	5892
126	856	5886
127	863	5881
128	869	5868
129	875	5857
130	883	5860
131	889	5851
132	896	5841
133	902	5833
134	908	5819
135	914	5811
136	920	5800
137	930	5811
138	937	5807
139	944	5798
140	950	5792
141	956	5782
142	963	5774
143	969	5764
144	977	5762
145	984	5755
146	991	5752
147	998	5747
148	1004	5737
149	1011	5730
150	1021	5743
151	1028	5737
152	1036	5737
153	1043	5730
154	1049	5721
155	1055	5711
156	1062	5703
157	1068	5694
158	1075	5687
159	1082	5683
160	1089	5676
161	1096	5670
162	1102	5659
163	1108	5650
164	1114	5640
165	1121	5633
166	1127	5624
167	1133	5612
168	1140	5605
169	1147	5602
170	1153	5592
171	1160	5586
172	1167	5580
173	1174	5574
174	1180	5563
175	1186	5556
176	1193	5549
177	1199	5541
178	1205	5529
179	1212	5523
180	1218	5514
181	1225	5507
182	1231	5499
183	1238	5490
184	1244	5483
185	1251	5476
186	1257	5468
187	1263	5457
188	1269	5448
189	1277	5446
190	1283	5436
191	1290	5431
192	1297	5425
193	1305	5423
194	1312	5419
195	1318	5409
196	1325	5404
197	1331	5395
198	1338	5387
199	1345	5382
200	1352	5375
201	1358	5368
202	1365	5360
203	1371	5352
204	1377	5343
205	1383	5334
206	1390	5327
207	1396	5319
208	1403	5313
209	1409	5303
210	1416	5296
211	1423	5292
212	1429	5283
213	1435	5272
214	1442	5268
215	1449	5260
216	1456	5255
217	1462	5246
218	1469	5240
219	1475	5231
220	1481	5222
221	1488	5216
222	1495	5209
223	1500	5198
224	1507	5193
225	1513	5183
226	1520	5177
227	1527	5172
228	1533	5162
229	1539	5153
230	1547	5150
231	1554	5146
232	1560	5137
233	1566	5127
234	1572	5119
235	1578	5110
236	1585	5105
237	1591	5095
238	1597	5085
239	1603	5078
240	1609	5070
241	1616	5063
242	1623	5057
243	1630	5051
244	1637	5045
245	1652	5065
246	1662	5067
247	1673	5074
248	1688	5091
249	1698	5095
250	1707	5095
251	1719	5102
252	1726	5099
253	1735	5096
254	1743	5094
255	1752	5094
256	1759	5087
257	1766	5081
258	1773	5074
259	1781	5069
260	1788	5064
261	1794	5055
262	1804	5056
263	1810	5048
264	1818	5044
265	1826	5039
266	1835	5038
267	1842	5031
268	1848	5024
269	1856	5020
270	1864	5015
271	1872	5012
272	1879	5006
273	1887	5000
274	1895	4996
275	1902	4991
276	1910	4986
277	1916	4978
278	1923	4971
279	1932	4969
280	1938	4960
281	1945	4954
282	1953	4950
283	1962	4947
284	1968	4939
285	1976	4935
286	1984	4930
287	1991	4923
288	1998	4916
289	2005	4909
290	2013	4905
291	2020	4898
292	2026	4889
293	2034	4885
294	2041	4879
295	2049	4875
296	2056	4868
297	2064	4862
298	2071	4855
299	2079	4851
300	2086	4845
301	2093	4839
302	2100	4832
303	2108	4827
304	2115	4819
305	2122	4812
306	2130	4808
307	2138	4804
308	2147	4801
309	2153	4794
310	2162	4790
311	2170	4785
312	2177	4778
313	2183	4771
314	2191	4765
315	2198	4758
316	2204	4748
317	2211	4742
318	2218	4736
319	2225	4728
320	2231	4720
321	2238	4712
322	2244	4705
323	2251	4698
324	2259	4692
325	2266	4684
326	2274	4682
327	2281	4674
328	2288	4667
329	2294	4658
330	2300	4649
331	2307	4642
332	2314	4635
333	2321	4628
334	2328	4621
335	2335	4615
336	2342	4608
337	2350	4602
338	2356	4595
339	2363	4587
340	2371	4582
341	2377	4574
342	2383	4565
343	2390	4559
344	2398	4553
345	2404	4545
346	2410	4536
347	2418	4530
348	2425	4524
349	2432	4518
350	2439	4511
351	2446	4503
352	2452	4495
353	2459	4488
354	2466	4481
355	2473	4475
356	2480	4467
357	2487	4461
358	2493	4452
359	2501	4447
360	2509	4442
361	2516	4435
362	2523	4428
363	2529	4419
364	2537	4414
365	2544	4407
366	2550	4398
367	2556	4390
368	2563	4383
369	2570	4377
370	2576	4368
371	2584	4362
372	2591	4355
373	2597	4347
374	2605	4342
375	2614	4339
376	2623	4334
377	2636	4337
378	2691	4410
379	2700	4406
380	2717	4414
381	2724	4408
382	2731	4399
383	2737	4391
384	2747	4388
385	2756	4384
